employee_id,department,region,education,gender,recruitment_channel,Training_Time,age,Prformance_Rating,Years_at_company,Working_Hours,Flexible_Timings,Workload_level,Monthly_Income,Work_Satisfaction,Percent_salary_hike,companies_worked,Marital_Status,Stress_status,Results
EMPID60763,Procurement,region_2,Bachelor's,f,other,1,23,3.0,2,7,Yes,High,45000,Yes,20,5,Yes,Yes,1
EMPID53167,Sales & Marketing,region_16,Bachelor's,m,sourcing,2,31,3.0,4,4,Yes,Low,53000,Yes,28,3,Yes,No,0
EMPID32672,Analytics,region_22,Master's & above,m,other,1,42,2.0,19,6,No,High,45000,Yes,30,3,No,No,0
EMPID48785,Sales & Marketing,region_22,Bachelor's,m,other,3,29,4.0,2,8,No,Low,60000,No,34,4,No,Yes,1
EMPID51444,HR,region_13,Bachelor's,f,other,1,30,,1,9,No,High,45000,Yes,25,5,No,Yes,1
EMPID75778,Operations,region_2,Bachelor's,m,sourcing,1,41,4.0,6,10,Yes,Low,43000,No,30,4,Yes,Yes,1
EMPID14141,Sales & Marketing,region_7,Bachelor's,f,other,1,40,3.0,2,9,No,Low,56000,No,25,3,No,Yes,1
EMPID17894,Sales & Marketing,region_2,Bachelor's,m,referred,1,34,5.0,5,8,Yes,Low,43000,Yes,30,2,Yes,Yes,1
EMPID54380,Sales & Marketing,region_4,Bachelor's,f,other,1,31,4.0,2,7,No,Low,45000,No,25,4,No,No,0
EMPID51892,Technology,region_2,Bachelor's,m,other,1,27,5.0,2,8,Yes,Low,34000,Yes,30,4,Yes,No,0
EMPID3625,Procurement,region_21,Bachelor's,m,sourcing,4,30,3.0,2,9,Yes,Low,25000,No,25,3,Yes,Yes,1
EMPID38771,Procurement,region_23,Bachelor's,f,other,1,27,4.0,4,7,No,Low,45000,No,30,4,No,Yes,1
EMPID18959,Technology,region_15,Bachelor's,m,other,4,36,4.0,7,8,No,Low,45000,Yes,25,5,No,Yes,1
EMPID21137,Technology,region_2,Bachelor's,m,sourcing,1,35,4.0,6,7,Yes,Low,78300,Yes,30,3,Yes,No,0
EMPID26097,Sales & Marketing,region_25,Master's & above,m,other,1,34,5.0,7,8,No,High,56000,No,25,2,No,Yes,1
EMPID38052,Procurement,region_34,Master's & above,m,sourcing,1,37,5.0,3,9,Yes,Low,45000,Yes,30,3,Yes,No,0
EMPID41746,Operations,region_22,Bachelor's,f,sourcing,1,27,,1,7,Yes,High,43000,No,25,4,Yes,No,0
EMPID72744,Procurement,region_2,Master's & above,m,sourcing,2,47,3.0,5,9,No,Low,45000,No,21,4,No,Yes,1
EMPID5461,Analytics,region_8,Bachelor's,m,other,1,28,,1,8,No,High,30000,No,19,3,No,No,0
EMPID15227,Procurement,region_27,Master's & above,f,other,1,40,5.0,5,8,Yes,Low,45000,Yes,20,2,Yes,No,0
EMPID66874,Sales & Marketing,region_27,Bachelor's,f,other,1,30,,1,9,No,High,45000,No,25,2,No,Yes,1
EMPID42068,Operations,region_1,Master's & above,m,other,1,38,5.0,9,10,Yes,Low,50000,Yes,30,3,Yes,Yes,1
EMPID54825,Sales & Marketing,region_25,Bachelor's,m,other,1,30,3.0,2,8,No,High,34000,Yes,25,4,No,Yes,1
EMPID77709,Sales & Marketing,region_11,Bachelor's,f,sourcing,1,28,5.0,3,9,No,High,45000,No,30,3,No,Yes,1
EMPID43712,Procurement,region_22,Bachelor's,m,sourcing,2,28,5.0,4,7,Yes,Low,45000,Yes,25,2,Yes,Yes,1
EMPID74783,Operations,region_29,Bachelor's,m,sourcing,1,35,4.0,7,8,Yes,Low,30000,No,10,3,Yes,Yes,1
EMPID19318,Analytics,region_22,Bachelor's,m,other,1,32,3.0,8,9,Yes,Low,20000,Yes,8,2,Yes,Yes,1
EMPID12096,Sales & Marketing,region_26,Master's & above,m,sourcing,1,36,5.0,8,7,Yes,High,25000,Yes,12,3,Yes,Yes,1
EMPID5102,Operations,region_7,Bachelor's,m,sourcing,1,24,,1,8,No,High,45000,No,15,2,No,No,0
EMPID29521,Technology,region_15,Bachelor's,m,other,1,27,3.0,4,9,Yes,High,45000,No,20,3,Yes,No,0
EMPID36371,Finance,region_28,Master's & above,m,other,2,34,3.0,7,10,No,High,53000,No,25,4,No,Yes,1
EMPID51164,Technology,region_14,Bachelor's,f,other,1,31,4.0,4,8,Yes,High,45000,Yes,30,6,Yes,No,0
EMPID17812,Technology,region_27,Bachelor's,f,sourcing,1,30,4.0,2,9,Yes,Low,60000,No,25,4,Yes,Yes,1
EMPID7606,Technology,region_29,Bachelor's,f,other,2,30,3.0,7,10,No,High,45000,Yes,20,2,No,Yes,1
EMPID50593,Finance,region_23,Bachelor's,m,sourcing,1,31,,1,8,Yes,High,43000,Yes,25,4,Yes,Yes,1
EMPID73735,Analytics,region_25,Bachelor's,m,other,1,30,5.0,3,9,Yes,Low,56000,No,30,7,Yes,No,0
EMPID29313,Finance,region_22,Bachelor's,m,sourcing,1,28,3.0,2,7,No,High,43000,No,25,8,No,No,0
EMPID40262,Technology,region_2,Bachelor's,m,other,2,28,3.0,5,8,No,Low,45000,No,30,4,No,No,0
EMPID36904,Sales & Marketing,region_15,Bachelor's,m,other,1,29,3.0,2,9,Yes,Low,34000,No,19,5,Yes,Yes,1
EMPID62552,Sales & Marketing,region_22,Master's & above,m,sourcing,1,46,3.0,11,7,No,Low,25000,No,15,4,No,Yes,1
EMPID63285,Technology,region_29,Bachelor's,m,sourcing,1,31,5.0,4,8,Yes,Low,45000,No,20,5,Yes,No,0
EMPID74203,Procurement,region_5,Bachelor's,m,sourcing,1,28,1.0,4,9,No,High,18000,No,30,6,No,Yes,1
EMPID75344,Sales & Marketing,region_4,Master's & above,m,other,1,31,4.0,6,7,Yes,High,60000,No,25,4,Yes,Yes,1
EMPID74018,HR,region_7,Master's & above,f,other,1,37,3.0,9,8,Yes,Low,89000,No,16,3,Yes,Yes,1
EMPID34985,Technology,region_5,Bachelor's,f,other,2,34,5.0,8,9,Yes,Low,23000,No,20,6,Yes,Yes,1
EMPID35930,Procurement,region_2,Bachelor's,m,sourcing,1,25,5.0,3,7,Yes,Low,45000,No,25,4,Yes,No,0
EMPID6708,Operations,region_22,Master's & above,m,sourcing,1,40,4.0,4,9,Yes,High,39000,No,30,3,Yes,Yes,1
EMPID5515,Operations,region_13,Master's & above,m,other,1,43,3.0,7,7,Yes,Low,40000,No,25,5,Yes,Yes,1
EMPID53373,Operations,region_13,Bachelor's,m,other,1,36,1.0,5,9,Yes,High,45000,Yes,30,6,Yes,No,0
EMPID69316,Legal,region_29,Bachelor's,m,sourcing,1,29,3.0,3,7,Yes,Low,56000,No,25,5,Yes,Yes,1
EMPID41009,Finance,region_13,Bachelor's,m,sourcing,2,35,3.0,2,6,No,High,34000,No,30,4,No,No,0
EMPID50622,Analytics,region_25,Master's & above,m,other,1,34,5.0,2,9,Yes,Low,45000,Yes,23,5,Yes,Yes,1
EMPID30106,Sales & Marketing,region_16,Bachelor's,f,sourcing,1,32,4.0,4,7,No,High,57000,Yes,30,6,No,No,0
45157,HR,region_4,Bachelor's,m,other,1,27,,1,8,No,Low,76000,No,25,5,No,Yes,1
23523,Technology,region_26,Bachelor's,m,sourcing,1,29,3.0,5,9,Yes,High,87000,No,30,4,Yes,Yes,1
74349,Sales & Marketing,region_5,Bachelor's,m,sourcing,1,34,1.0,4,6,No,High,43000,No,25,6,No,No,0
70543,Procurement,region_2,Master's & above,m,sourcing,1,37,5.0,7,7,Yes,Low,87000,Yes,30,7,Yes,No,0
42245,Procurement,region_22,Bachelor's,f,other,1,33,3.0,3,9,No,Low,43000,No,15,5,No,Yes,1
34405,Procurement,region_2,Master's & above,f,other,1,33,5.0,4,9,No,Low,45000,No,20,4,No,No,0
4134,Sales & Marketing,region_16,Bachelor's,f,other,1,39,1.0,8,8,Yes,High,34000,Yes,25,3,Yes,Yes,1
23599,Technology,region_23,Master's & above,m,other,1,34,4.0,7,7,Yes,High,25000,No,30,5,Yes,Yes,1
942,Technology,region_22,Bachelor's,m,other,2,32,4.0,6,10,No,High,45000,No,35,6,No,Yes,1
5281,Sales & Marketing,region_7,Master's & above,m,other,1,34,4.0,6,7,Yes,High,18000,No,23,3,Yes,Yes,1
197,Finance,region_12,Bachelor's,m,other,1,29,5.0,6,6,No,High,60000,No,35,4,No,Yes,1
37574,Sales & Marketing,region_2,Bachelor's,m,sourcing,2,28,1.0,2,8,No,Low,89000,No,30,5,No,Yes,1
26773,Technology,region_7,Bachelor's,f,other,1,28,2.0,5,9,No,High,23000,No,25,6,No,No,0
70034,Procurement,region_2,Master's & above,f,other,2,35,3.0,9,6,Yes,Low,45000,No,20,4,Yes,No,0
40565,Technology,region_2,Bachelor's,f,other,2,40,3.0,3,8,No,Low,39000,No,28,3,No,No,0
17193,Sales & Marketing,region_2,Bachelor's,f,other,2,27,2.0,4,9,Yes,Low,40000,No,30,3,Yes,Yes,1
76550,Procurement,region_22,Bachelor's,f,other,3,26,3.0,3,8,Yes,High,45000,No,34,4,Yes,No,0
53841,Operations,region_2,Bachelor's,m,sourcing,1,43,2.0,12,9,No,Low,56000,Yes,25,5,No,No,0
28314,Finance,region_26,Bachelor's,m,other,1,23,,1,7,Yes,High,34000,No,30,3,Yes,No,0
30196,Analytics,region_25,Bachelor's,m,sourcing,1,29,5.0,6,8,No,Low,45000,No,25,3,No,No,0
29757,Sales & Marketing,region_14,Bachelor's,m,sourcing,1,43,3.0,15,9,Yes,High,57000,No,30,2,Yes,Yes,1
6073,Sales & Marketing,region_2,Bachelor's,m,sourcing,3,27,4.0,4,10,Yes,Low,76000,No,25,3,Yes,Yes,1
9863,Procurement,region_27,Bachelor's,m,sourcing,1,26,4.0,4,7,No,Low,87000,Yes,30,4,No,Yes,1
34306,Procurement,region_13,Bachelor's,f,other,1,31,5.0,5,8,No,High,45000,No,25,4,No,No,0
34041,Operations,region_7,Bachelor's,m,other,1,40,4.0,11,8,No,Low,45000,Yes,30,3,No,No,0
21356,Operations,region_15,Bachelor's,f,other,2,39,5.0,12,7,Yes,High,30000,No,25,2,Yes,No,0
29540,Operations,region_2,Bachelor's,f,other,2,30,3.0,6,5,No,Low,20000,No,30,4,No,Yes,1
51669,Technology,region_2,Master's & above,m,other,1,47,4.0,4,7,Yes,Low,25000,Yes,25,3,Yes,No,0
33825,Sales & Marketing,region_17,Bachelor's,m,other,1,34,4.0,7,9,Yes,Low,45000,Yes,30,2,Yes,Yes,1
6254,Operations,region_2,,f,other,1,33,4.0,9,8,No,Low,45000,No,25,3,No,No,0
11645,Sales & Marketing,region_23,Master's & above,m,other,1,41,5.0,7,9,No,Low,53000,No,21,4,No,No,0
3231,Technology,region_7,Bachelor's,m,other,1,29,1.0,4,6,No,Low,45000,No,19,3,No,Yes,1
7030,Analytics,region_31,Bachelor's,f,other,1,32,3.0,4,8,No,Low,60000,No,20,2,No,Yes,1
54198,Procurement,region_7,Master's & above,f,other,1,47,5.0,9,9,No,Low,45000,No,25,1,No,No,0
EMPID62293,Operations,region_27,Bachelor's,m,other,1,35,4.0,3,7,No,Low,43000,No,30,3,No,Yes,1
EMPID25312,Technology,region_22,Bachelor's,m,other,1,27,4.0,2,7,No,High,56000,Yes,25,4,No,No,0
EMPID75610,Analytics,region_32,Bachelor's,m,other,1,29,1.0,3,8,No,Low,43000,Yes,30,5,No,Yes,1
EMPID16518,Sales & Marketing,region_20,Bachelor's,m,sourcing,2,36,3.0,9,9,No,High,45000,No,525,3,No,No,0
EMPID42747,Sales & Marketing,region_15,Bachelor's,m,other,2,35,1.0,8,7,No,Low,34000,Yes,10,2,No,No,0
EMPID67980,Procurement,region_2,Bachelor's,f,sourcing,2,34,3.0,2,4,No,High,25000,No,8,3,No,Yes,1
EMPID53630,Sales & Marketing,region_23,Master's & above,f,sourcing,1,34,4.0,5,6,No,Low,45000,No,12,4,No,Yes,1
EMPID72423,Operations,region_2,Master's & above,m,sourcing,1,39,3.0,2,8,No,High,45000,Yes,15,4,No,Yes,1
EMPID73022,Sales & Marketing,region_25,Bachelor's,m,other,1,26,5.0,2,9,Yes,Low,78300,No,26,5,Yes,Yes,1
EMPID63976,Operations,region_31,Bachelor's,f,sourcing,1,30,5.0,4,10,No,High,56000,Yes,30,3,No,Yes,1
EMPID60761,Operations,region_16,,f,other,1,31,4.0,2,9,No,High,45000,No,19,3,No,No,0
EMPID57228,HR,region_2,Master's & above,m,sourcing,1,44,5.0,6,8,Yes,Low,43000,No,15,2,Yes,No,0
EMPID14912,Sales & Marketing,region_1,Bachelor's,m,other,1,38,3.0,4,7,Yes,Low,45000,No,20,3,Yes,No,0
EMPID22725,Technology,region_26,Bachelor's,m,other,1,40,1.0,3,8,No,Low,30000,Yes,30,4,No,No,0
EMPID18981,Legal,region_2,Master's & above,m,sourcing,1,50,5.0,6,9,No,High,45000,No,25,1,No,Yes,1
EMPID50845,Procurement,region_19,Master's & above,m,other,1,44,3.0,12,7,No,High,45000,No,16,3,No,Yes,1
EMPID11800,Procurement,region_2,Below Secondary,f,other,1,23,1.0,2,8,Yes,High,50000,No,20,4,Yes,Yes,1
EMPID16351,Sales & Marketing,region_7,Master's & above,f,sourcing,1,36,1.0,2,7,No,High,34000,No,25,3,No,Yes,1
EMPID75881,Analytics,region_27,Bachelor's,m,sourcing,1,25,1.0,4,8,No,High,45000,No,30,4,No,Yes,1
EMPID73200,Operations,region_28,Bachelor's,m,sourcing,1,34,5.0,4,9,Yes,Low,45000,Yes,25,2,Yes,Yes,1
EMPID17833,Analytics,region_4,Bachelor's,m,sourcing,1,28,,1,10,No,High,30000,Yes,30,3,No,Yes,1
EMPID58338,Analytics,region_1,Bachelor's,m,other,2,30,5.0,6,8,No,High,20000,Yes,25,4,No,Yes,1
EMPID40187,Procurement,region_12,Bachelor's,m,sourcing,1,35,1.0,8,9,No,Low,25000,Yes,30,3,No,No,0
