employee_id,department,region,education,gender,recruitment_channel,Training_Time,age,Prformance_Rating,Years_at_company,Working_Hours,Flexible_Timings,Workload_level,Monthly_Income,Work_Satisfaction,Percent_salary_hike,companies_worked,Marital_Status,Stress_status
EMPID33332,Operations,region_15,,m,sourcing,1,41,4,11,10,Yes,High,25000,No,15,4,Yes,Yes
EMPID58789,Finance,region_11,Bachelor's,f,other,1,28,3,4,9,No,Low,45000,No,20,3,No,Yes
EMPID71177,Procurement,region_5,Bachelor's,m,other,1,27,,1,8,No,High,45000,Yes,30,5,No,Yes
EMPID52057,Finance,region_22,Master's & above,m,sourcing,2,39,5,7,6,Yes,High,53000,No,25,6,Yes,Yes
EMPID26585,Technology,region_22,Bachelor's,m,other,1,27,5,3,9,No,Low,45000,No,16,5,No,No
EMPID37749,Procurement,region_26,Bachelor's,m,other,1,31,5,4,8,No,High,60000,No,20,4,No,No
EMPID2370,Technology,region_26,Bachelor's,m,other,1,33,4,4,7,No,Low,45000,No,25,5,No,No
EMPID8219,Analytics,region_5,Bachelor's,m,other,1,29,5,3,8,No,High,43000,No,30,6,No,No
EMPID74759,Sales & Marketing,region_4,Bachelor's,m,sourcing,1,26,,1,9,Yes,Low,56000,Yes,25,5,Yes,Yes
EMPID27395,Procurement,region_15,Bachelor's,m,sourcing,1,37,5,10,10,No,High,43000,No,30,4,No,Yes
EMPID58536,Finance,region_31,Bachelor's,m,other,2,26,1,2,9,Yes,Low,45000,Yes,25,6,Yes,Yes
EMPID35465,Sales & Marketing,region_7,,f,sourcing,1,24,1,2,7,No,Low,34000,Yes,30,7,No,Yes
EMPID51756,Operations,region_2,Bachelor's,m,sourcing,2,57,4,6,9,No,Low,25000,Yes,23,5,No,Yes
EMPID57011,Analytics,region_22,Bachelor's,m,other,2,27,5,3,8,Yes,Low,45000,No,30,4,Yes,Yes
EMPID77064,Sales & Marketing,region_22,Bachelor's,m,other,1,40,2,4,8,No,Low,45000,Yes,25,3,No,Yes
EMPID64062,Technology,region_28,Bachelor's,m,sourcing,1,33,4,4,9,Yes,Low,78300,Yes,30,5,Yes,Yes
EMPID47123,Sales & Marketing,region_7,Bachelor's,f,sourcing,1,40,5,3,10,Yes,Low,56000,No,25,6,Yes,Yes
EMPID56275,Sales & Marketing,region_1,Master's & above,m,other,1,42,5,5,8,No,Low,45000,Yes,30,3,No,No
EMPID58304,Sales & Marketing,region_28,Bachelor's,m,sourcing,1,33,5,6,9,No,Low,43000,No,15,4,No,Yes
EMPID25014,Technology,region_15,Bachelor's,m,other,1,34,3,10,7,No,High,45000,No,20,5,No,No
EMPID40097,Operations,region_2,Bachelor's,f,other,2,23,4,2,8,Yes,Low,30000,No,25,6,Yes,No
EMPID23560,HR,region_2,Bachelor's,m,sourcing,1,59,4,26,9,No,High,45000,Yes,30,4,No,Yes
EMPID17423,Sales & Marketing,region_2,,m,other,3,24,2,2,7,No,Low,45000,No,35,3,No,Yes
EMPID61758,Analytics,region_2,Bachelor's,m,other,1,44,5,12,8,Yes,High,50000,Yes,23,3,Yes,Yes
EMPID75009,Procurement,region_17,Bachelor's,f,sourcing,1,50,5,11,9,Yes,Low,34000,No,35,4,Yes,Yes
EMPID17876,Procurement,region_13,Master's & above,f,other,1,37,4,4,10,Yes,High,45000,Yes,30,5,Yes,Yes
EMPID36924,Technology,region_16,Bachelor's,m,sourcing,1,40,3,11,8,No,Low,45000,Yes,25,3,No,Yes
EMPID50408,Sales & Marketing,region_20,Bachelor's,m,sourcing,1,30,3,3,9,No,High,30000,Yes,20,3,No,Yes
EMPID18013,Procurement,region_2,Master's & above,f,sourcing,1,56,3,12,10,No,High,20000,Yes,28,2,No,Yes
EMPID24104,Finance,region_2,Bachelor's,m,sourcing,1,20,4,2,8,Yes,Low,25000,Yes,30,3,Yes,No
EMPID32083,Sales & Marketing,region_25,Bachelor's,f,sourcing,1,31,3,8,9,No,Low,45000,No,34,4,No,Yes
EMPID38330,Procurement,region_15,Bachelor's,m,sourcing,1,40,3,12,7,Yes,Low,45000,No,25,4,Yes,Yes
EMPID33690,HR,region_22,Bachelor's,m,other,1,30,1,6,8,No,High,53000,Yes,30,3,No,Yes
EMPID73161,Operations,region_22,Bachelor's,m,other,1,39,3,5,9,Yes,High,45000,Yes,25,2,Yes,No
EMPID13596,Analytics,region_31,Bachelor's,m,other,2,26,2,2,7,No,High,60000,Yes,30,4,No,Yes
EMPID45709,Sales & Marketing,region_31,Bachelor's,f,other,1,29,,1,8,No,High,45000,No,25,3,No,Yes
EMPID32709,R&D,region_22,Master's & above,m,sourcing,1,40,3,5,9,Yes,High,43000,Yes,30,2,Yes,Yes
EMPID26599,Sales & Marketing,region_16,Bachelor's,m,other,2,27,,1,7,Yes,Low,56000,No,25,3,Yes,Yes
EMPID32656,Sales & Marketing,region_19,Bachelor's,m,other,1,40,4,7,8,No,High,43000,No,30,4,No,No
EMPID17673,Sales & Marketing,region_4,Master's & above,m,other,1,50,4,17,9,Yes,High,45000,Yes,25,3,Yes,Yes
EMPID3113,Sales & Marketing,region_29,Bachelor's,m,sourcing,1,25,3,3,7,No,Low,34000,Yes,30,2,No,Yes
EMPID9150,Analytics,region_22,Bachelor's,f,other,1,28,,1,9,Yes,High,25000,No,25,1,Yes,No
EMPID14107,Sales & Marketing,region_1,Master's & above,m,sourcing,1,35,4,2,7,No,Low,45000,No,30,3,No,Yes
EMPID58747,R&D,region_26,Bachelor's,m,other,1,34,5,5,9,Yes,Low,18000,No,25,4,Yes,Yes
EMPID3342,Operations,region_13,Master's & above,f,sourcing,1,31,3,3,7,Yes,Low,60000,Yes,21,5,Yes,No
EMPID77981,Finance,region_22,Bachelor's,m,other,1,27,,1,6,No,Low,89000,No,19,3,No,No
EMPID16502,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,27,,1,9,Yes,Low,23000,Yes,20,2,Yes,No
EMPID73729,Procurement,region_10,Bachelor's,m,other,1,30,4,6,7,No,Low,45000,No,25,3,No,Yes
EMPID45624,Analytics,region_31,Bachelor's,m,other,1,30,3,7,8,No,Low,39000,Yes,30,4,No,Yes
EMPID75677,Operations,region_22,Bachelor's,f,other,1,50,5,5,9,Yes,Low,40000,Yes,25,4,Yes,Yes
EMPID24040,Technology,region_22,Master's & above,m,other,1,34,5,7,6,No,Low,45000,No,30,5,No,Yes
EMPID68082,Sales & Marketing,region_2,Master's & above,f,sourcing,1,41,1,12,7,No,High,56000,No,525,3,No,Yes
EMPID51786,Sales & Marketing,region_16,Bachelor's,m,sourcing,1,32,4,6,9,No,Low,34000,Yes,10,3,No,Yes
EMPID77577,Sales & Marketing,region_7,Bachelor's,m,other,1,50,3,14,9,No,High,45000,No,8,2,No,Yes
EMPID54782,Sales & Marketing,region_2,Master's & above,m,sourcing,1,38,4,2,8,No,Low,57000,Yes,12,3,No,Yes
EMPID52368,Sales & Marketing,region_27,Bachelor's,m,sourcing,2,29,1,5,7,Yes,High,76000,Yes,15,4,Yes,Yes
EMPID75103,Sales & Marketing,region_30,Bachelor's,m,sourcing,1,35,4,3,10,No,Low,87000,No,26,1,No,Yes
EMPID7520,Analytics,region_2,Bachelor's,m,other,1,25,3,2,7,Yes,High,43000,No,30,3,Yes,Yes
EMPID59147,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,30,3,3,6,Yes,Low,87000,Yes,19,4,Yes,No
EMPID53092,Technology,region_2,Bachelor's,m,referred,1,47,3,7,8,Yes,High,43000,No,15,3,Yes,Yes
EMPID34564,Operations,region_4,Master's & above,m,sourcing,1,35,2,7,9,No,High,45000,Yes,20,4,No,Yes
EMPID66013,Sales & Marketing,region_2,,m,sourcing,2,25,3,2,6,Yes,Low,34000,No,30,2,Yes,No
EMPID77135,R&D,region_22,Bachelor's,m,other,1,36,4,8,8,Yes,Low,25000,No,25,3,Yes,Yes
EMPID44575,Legal,region_7,Bachelor's,m,other,1,29,,1,9,No,Low,45000,Yes,16,4,No,Yes
EMPID47498,Operations,region_11,Master's & above,f,sourcing,1,42,5,11,8,Yes,High,18000,Yes,20,3,Yes,No
EMPID20798,HR,region_20,Bachelor's,f,sourcing,1,28,2,6,9,No,High,60000,Yes,25,2,No,No
EMPID69094,Sales & Marketing,region_2,,m,sourcing,1,39,1,9,7,No,High,89000,Yes,30,4,No,No
EMPID22261,Procurement,region_7,Master's & above,m,sourcing,1,32,5,3,8,No,High,23000,No,25,2,No,Yes
EMPID9589,Sales & Marketing,region_31,Bachelor's,f,other,1,31,,1,9,Yes,High,45000,Yes,30,4,Yes,Yes
EMPID62658,Sales & Marketing,region_2,,f,sourcing,1,20,,1,10,No,Low,39000,No,25,4,No,No
EMPID21628,Analytics,region_12,Bachelor's,m,other,1,34,3,8,7,Yes,High,40000,Yes,30,3,Yes,Yes
EMPID68484,Procurement,region_2,Master's & above,m,sourcing,2,46,4,3,8,No,Low,45000,Yes,23,2,No,No
EMPID44523,HR,region_2,Master's & above,m,other,1,47,3,7,8,Yes,Low,56000,No,30,3,Yes,No
EMPID35420,Operations,region_2,Bachelor's,f,other,1,44,4,13,7,Yes,Low,34000,Yes,25,4,Yes,No
EMPID43923,Analytics,region_14,Bachelor's,m,sourcing,1,31,4,4,5,Yes,High,45000,Yes,30,4,Yes,Yes
EMPID64109,Technology,region_26,Bachelor's,f,sourcing,1,23,,1,7,Yes,Low,57000,No,25,3,Yes,Yes
EMPID41983,Operations,region_2,Bachelor's,f,sourcing,1,33,3,5,7,Yes,High,76000,No,30,4,Yes,Yes
EMPID21440,Sales & Marketing,region_31,Bachelor's,m,other,1,41,3,12,8,No,Low,87000,Yes,15,3,No,Yes
EMPID51256,Finance,region_2,Master's & above,m,other,1,60,5,17,9,No,High,43000,No,20,4,No,Yes
EMPID66635,Operations,region_15,Bachelor's,m,other,1,31,5,4,6,Yes,Low,87000,Yes,25,5,Yes,No
EMPID16027,Operations,region_26,Bachelor's,f,other,1,37,3,11,8,Yes,High,45000,No,30,3,Yes,No
EMPID46020,Analytics,region_7,Bachelor's,m,sourcing,2,39,3,4,9,Yes,High,45000,Yes,35,4,Yes,Yes
EMPID28509,Sales & Marketing,region_7,Bachelor's,m,other,1,40,5,8,7,No,Low,30000,Yes,23,4,No,No
EMPID33587,Sales & Marketing,region_28,Master's & above,m,sourcing,1,42,5,4,7,Yes,High,20000,Yes,35,3,Yes,Yes
EMPID21387,Operations,region_13,Bachelor's,m,other,1,35,4,6,8,No,High,25000,Yes,30,4,No,Yes
EMPID55927,Operations,region_13,Master's & above,f,sourcing,1,41,4,6,9,No,Low,45000,Yes,25,4,No,Yes
EMPID60763,Procurement,region_2,Bachelor's,f,other,1,23,3,2,7,Yes,High,45000,Yes,20,5,Yes,Yes
EMPID53167,Sales & Marketing,region_16,Bachelor's,m,sourcing,2,31,3,4,4,Yes,Low,53000,Yes,28,3,Yes,No
EMPID32672,Analytics,region_22,Master's & above,m,other,1,42,2,19,6,No,High,45000,Yes,30,3,No,No
EMPID48785,Sales & Marketing,region_22,Bachelor's,m,other,3,29,4,2,8,No,Low,60000,No,34,4,No,Yes
EMPID51444,HR,region_13,Bachelor's,f,other,1,30,,1,9,No,High,45000,Yes,25,5,No,Yes
EMPID75778,Operations,region_2,Bachelor's,m,sourcing,1,41,4,6,10,Yes,Low,43000,No,30,4,Yes,Yes
EMPID14141,Sales & Marketing,region_7,Bachelor's,f,other,1,40,3,2,9,No,Low,56000,No,25,3,No,Yes
EMPID17894,Sales & Marketing,region_2,Bachelor's,m,referred,1,34,5,5,8,Yes,Low,43000,Yes,30,2,Yes,Yes
EMPID54380,Sales & Marketing,region_4,Bachelor's,f,other,1,31,4,2,7,No,Low,45000,No,25,4,No,No
EMPID51892,Technology,region_2,Bachelor's,m,other,1,27,5,2,8,Yes,Low,34000,Yes,30,4,Yes,No
EMPID3625,Procurement,region_21,Bachelor's,m,sourcing,4,30,3,2,9,Yes,Low,25000,No,25,3,Yes,Yes
EMPID38771,Procurement,region_23,Bachelor's,f,other,1,27,4,4,7,No,Low,45000,No,30,4,No,Yes
EMPID18959,Technology,region_15,Bachelor's,m,other,4,36,4,7,8,No,Low,45000,Yes,25,5,No,Yes
EMPID21137,Technology,region_2,Bachelor's,m,sourcing,1,35,4,6,7,Yes,Low,78300,Yes,30,3,Yes,No
EMPID26097,Sales & Marketing,region_25,Master's & above,m,other,1,34,5,7,8,No,High,56000,No,25,2,No,Yes
EMPID38052,Procurement,region_34,Master's & above,m,sourcing,1,37,5,3,9,Yes,Low,45000,Yes,30,3,Yes,No
EMPID41746,Operations,region_22,Bachelor's,f,sourcing,1,27,,1,7,Yes,High,43000,No,25,4,Yes,No
EMPID72744,Procurement,region_2,Master's & above,m,sourcing,2,47,3,5,9,No,Low,45000,No,21,4,No,Yes
EMPID5461,Analytics,region_8,Bachelor's,m,other,1,28,,1,8,No,High,30000,No,19,3,No,No
EMPID15227,Procurement,region_27,Master's & above,f,other,1,40,5,5,8,Yes,Low,45000,Yes,20,2,Yes,No
EMPID66874,Sales & Marketing,region_27,Bachelor's,f,other,1,30,,1,9,No,High,45000,No,25,2,No,Yes
EMPID42068,Operations,region_1,Master's & above,m,other,1,38,5,9,10,Yes,Low,50000,Yes,30,3,Yes,Yes
EMPID54825,Sales & Marketing,region_25,Bachelor's,m,other,1,30,3,2,8,No,High,34000,Yes,25,4,No,Yes
EMPID77709,Sales & Marketing,region_11,Bachelor's,f,sourcing,1,28,5,3,9,No,High,45000,No,30,3,No,Yes
EMPID43712,Procurement,region_22,Bachelor's,m,sourcing,2,28,5,4,7,Yes,Low,45000,Yes,25,2,Yes,Yes
EMPID74783,Operations,region_29,Bachelor's,m,sourcing,1,35,4,7,8,Yes,Low,30000,No,10,3,Yes,Yes
EMPID19318,Analytics,region_22,Bachelor's,m,other,1,32,3,8,9,Yes,Low,20000,Yes,8,2,Yes,Yes
EMPID12096,Sales & Marketing,region_26,Master's & above,m,sourcing,1,36,5,8,7,Yes,High,25000,Yes,12,3,Yes,Yes
EMPID5102,Operations,region_7,Bachelor's,m,sourcing,1,24,,1,8,No,High,45000,No,15,2,No,No
EMPID29521,Technology,region_15,Bachelor's,m,other,1,27,3,4,9,Yes,High,45000,No,20,3,Yes,No
EMPID36371,Finance,region_28,Master's & above,m,other,2,34,3,7,10,No,High,53000,No,25,4,No,Yes
EMPID51164,Technology,region_14,Bachelor's,f,other,1,31,4,4,8,Yes,High,45000,Yes,30,6,Yes,No
EMPID17812,Technology,region_27,Bachelor's,f,sourcing,1,30,4,2,9,Yes,Low,60000,No,25,4,Yes,Yes
EMPID7606,Technology,region_29,Bachelor's,f,other,2,30,3,7,10,No,High,45000,Yes,20,2,No,Yes
EMPID50593,Finance,region_23,Bachelor's,m,sourcing,1,31,,1,8,Yes,High,43000,Yes,25,4,Yes,Yes
EMPID73735,Analytics,region_25,Bachelor's,m,other,1,30,5,3,9,Yes,Low,56000,No,30,7,Yes,No
EMPID29313,Finance,region_22,Bachelor's,m,sourcing,1,28,3,2,7,No,High,43000,No,25,8,No,No
EMPID40262,Technology,region_2,Bachelor's,m,other,2,28,3,5,8,No,Low,45000,No,30,4,No,No
EMPID36904,Sales & Marketing,region_15,Bachelor's,m,other,1,29,3,2,9,Yes,Low,34000,No,19,5,Yes,Yes
EMPID62552,Sales & Marketing,region_22,Master's & above,m,sourcing,1,46,3,11,7,No,Low,25000,No,15,4,No,Yes
EMPID63285,Technology,region_29,Bachelor's,m,sourcing,1,31,5,4,8,Yes,Low,45000,No,20,5,Yes,No
EMPID74203,Procurement,region_5,Bachelor's,m,sourcing,1,28,1,4,9,No,High,18000,No,30,6,No,Yes
EMPID75344,Sales & Marketing,region_4,Master's & above,m,other,1,31,4,6,7,Yes,High,60000,No,25,4,Yes,Yes
EMPID74018,HR,region_7,Master's & above,f,other,1,37,3,9,8,Yes,Low,89000,No,16,3,Yes,Yes
EMPID34985,Technology,region_5,Bachelor's,f,other,2,34,5,8,9,Yes,Low,23000,No,20,6,Yes,Yes
EMPID35930,Procurement,region_2,Bachelor's,m,sourcing,1,25,5,3,7,Yes,Low,45000,No,25,4,Yes,No
EMPID6708,Operations,region_22,Master's & above,m,sourcing,1,40,4,4,9,Yes,High,39000,No,30,3,Yes,Yes
EMPID5515,Operations,region_13,Master's & above,m,other,1,43,3,7,7,Yes,Low,40000,No,25,5,Yes,Yes
EMPID53373,Operations,region_13,Bachelor's,m,other,1,36,1,5,9,Yes,High,45000,Yes,30,6,Yes,No
EMPID69316,Legal,region_29,Bachelor's,m,sourcing,1,29,3,3,7,Yes,Low,56000,No,25,5,Yes,Yes
EMPID41009,Finance,region_13,Bachelor's,m,sourcing,2,35,3,2,6,No,High,34000,No,30,4,No,No
EMPID50622,Analytics,region_25,Master's & above,m,other,1,34,5,2,9,Yes,Low,45000,Yes,23,5,Yes,Yes
EMPID30106,Sales & Marketing,region_16,Bachelor's,f,sourcing,1,32,4,4,7,No,High,57000,Yes,30,6,No,No
45157,HR,region_4,Bachelor's,m,other,1,27,,1,8,No,Low,76000,No,25,5,No,Yes
23523,Technology,region_26,Bachelor's,m,sourcing,1,29,3,5,9,Yes,High,87000,No,30,4,Yes,Yes
74349,Sales & Marketing,region_5,Bachelor's,m,sourcing,1,34,1,4,6,No,High,43000,No,25,6,No,No
70543,Procurement,region_2,Master's & above,m,sourcing,1,37,5,7,7,Yes,Low,87000,Yes,30,7,Yes,No
42245,Procurement,region_22,Bachelor's,f,other,1,33,3,3,9,No,Low,43000,No,15,5,No,Yes
34405,Procurement,region_2,Master's & above,f,other,1,33,5,4,9,No,Low,45000,No,20,4,No,No
4134,Sales & Marketing,region_16,Bachelor's,f,other,1,39,1,8,8,Yes,High,34000,Yes,25,3,Yes,Yes
23599,Technology,region_23,Master's & above,m,other,1,34,4,7,7,Yes,High,25000,No,30,5,Yes,Yes
942,Technology,region_22,Bachelor's,m,other,2,32,4,6,10,No,High,45000,No,35,6,No,Yes
5281,Sales & Marketing,region_7,Master's & above,m,other,1,34,4,6,7,Yes,High,18000,No,23,3,Yes,Yes
197,Finance,region_12,Bachelor's,m,other,1,29,5,6,6,No,High,60000,No,35,4,No,Yes
37574,Sales & Marketing,region_2,Bachelor's,m,sourcing,2,28,1,2,8,No,Low,89000,No,30,5,No,Yes
26773,Technology,region_7,Bachelor's,f,other,1,28,2,5,9,No,High,23000,No,25,6,No,No
70034,Procurement,region_2,Master's & above,f,other,2,35,3,9,6,Yes,Low,45000,No,20,4,Yes,No
40565,Technology,region_2,Bachelor's,f,other,2,40,3,3,8,No,Low,39000,No,28,3,No,No
17193,Sales & Marketing,region_2,Bachelor's,f,other,2,27,2,4,9,Yes,Low,40000,No,30,3,Yes,Yes
76550,Procurement,region_22,Bachelor's,f,other,3,26,3,3,8,Yes,High,45000,No,34,4,Yes,No
53841,Operations,region_2,Bachelor's,m,sourcing,1,43,2,12,9,No,Low,56000,Yes,25,5,No,No
28314,Finance,region_26,Bachelor's,m,other,1,23,,1,7,Yes,High,34000,No,30,3,Yes,No
30196,Analytics,region_25,Bachelor's,m,sourcing,1,29,5,6,8,No,Low,45000,No,25,3,No,No
29757,Sales & Marketing,region_14,Bachelor's,m,sourcing,1,43,3,15,9,Yes,High,57000,No,30,2,Yes,Yes
6073,Sales & Marketing,region_2,Bachelor's,m,sourcing,3,27,4,4,10,Yes,Low,76000,No,25,3,Yes,Yes
9863,Procurement,region_27,Bachelor's,m,sourcing,1,26,4,4,7,No,Low,87000,Yes,30,4,No,Yes
34306,Procurement,region_13,Bachelor's,f,other,1,31,5,5,8,No,High,45000,No,25,4,No,No
34041,Operations,region_7,Bachelor's,m,other,1,40,4,11,8,No,Low,45000,Yes,30,3,No,No
21356,Operations,region_15,Bachelor's,f,other,2,39,5,12,7,Yes,High,30000,No,25,2,Yes,No
29540,Operations,region_2,Bachelor's,f,other,2,30,3,6,5,No,Low,20000,No,30,4,No,Yes
51669,Technology,region_2,Master's & above,m,other,1,47,4,4,7,Yes,Low,25000,Yes,25,3,Yes,No
33825,Sales & Marketing,region_17,Bachelor's,m,other,1,34,4,7,9,Yes,Low,45000,Yes,30,2,Yes,Yes
6254,Operations,region_2,,f,other,1,33,4,9,8,No,Low,45000,No,25,3,No,No
11645,Sales & Marketing,region_23,Master's & above,m,other,1,41,5,7,9,No,Low,53000,No,21,4,No,No
3231,Technology,region_7,Bachelor's,m,other,1,29,1,4,6,No,Low,45000,No,19,3,No,Yes
7030,Analytics,region_31,Bachelor's,f,other,1,32,3,4,8,No,Low,60000,No,20,2,No,Yes
54198,Procurement,region_7,Master's & above,f,other,1,47,5,9,9,No,Low,45000,No,25,1,No,No
EMPID62293,Operations,region_27,Bachelor's,m,other,1,35,4,3,7,No,Low,43000,No,30,3,No,Yes
EMPID25312,Technology,region_22,Bachelor's,m,other,1,27,4,2,7,No,High,56000,Yes,25,4,No,No
EMPID75610,Analytics,region_32,Bachelor's,m,other,1,29,1,3,8,No,Low,43000,Yes,30,5,No,Yes
EMPID16518,Sales & Marketing,region_20,Bachelor's,m,sourcing,2,36,3,9,9,No,High,45000,No,525,3,No,No
EMPID42747,Sales & Marketing,region_15,Bachelor's,m,other,2,35,1,8,7,No,Low,34000,Yes,10,2,No,No
EMPID67980,Procurement,region_2,Bachelor's,f,sourcing,2,34,3,2,4,No,High,25000,No,8,3,No,Yes
EMPID53630,Sales & Marketing,region_23,Master's & above,f,sourcing,1,34,4,5,6,No,Low,45000,No,12,4,No,Yes
EMPID72423,Operations,region_2,Master's & above,m,sourcing,1,39,3,2,8,No,High,45000,Yes,15,4,No,Yes
EMPID73022,Sales & Marketing,region_25,Bachelor's,m,other,1,26,5,2,9,Yes,Low,78300,No,26,5,Yes,Yes
EMPID63976,Operations,region_31,Bachelor's,f,sourcing,1,30,5,4,10,No,High,56000,Yes,30,3,No,Yes
EMPID60761,Operations,region_16,,f,other,1,31,4,2,9,No,High,45000,No,19,3,No,No
EMPID57228,HR,region_2,Master's & above,m,sourcing,1,44,5,6,8,Yes,Low,43000,No,15,2,Yes,No
EMPID14912,Sales & Marketing,region_1,Bachelor's,m,other,1,38,3,4,7,Yes,Low,45000,No,20,3,Yes,No
EMPID22725,Technology,region_26,Bachelor's,m,other,1,40,1,3,8,No,Low,30000,Yes,30,4,No,No
EMPID18981,Legal,region_2,Master's & above,m,sourcing,1,50,5,6,9,No,High,45000,No,25,1,No,Yes
EMPID50845,Procurement,region_19,Master's & above,m,other,1,44,3,12,7,No,High,45000,No,16,3,No,Yes
EMPID11800,Procurement,region_2,Below Secondary,f,other,1,23,1,2,8,Yes,High,50000,No,20,4,Yes,Yes
EMPID16351,Sales & Marketing,region_7,Master's & above,f,sourcing,1,36,1,2,7,No,High,34000,No,25,3,No,Yes
EMPID75881,Analytics,region_27,Bachelor's,m,sourcing,1,25,1,4,8,No,High,45000,No,30,4,No,Yes
EMPID73200,Operations,region_28,Bachelor's,m,sourcing,1,34,5,4,9,Yes,Low,45000,Yes,25,2,Yes,Yes
EMPID17833,Analytics,region_4,Bachelor's,m,sourcing,1,28,,1,10,No,High,30000,Yes,30,3,No,Yes
EMPID58338,Analytics,region_1,Bachelor's,m,other,2,30,5,6,8,No,High,20000,Yes,25,4,No,Yes
EMPID40187,Procurement,region_12,Bachelor's,m,sourcing,1,35,1,8,9,No,Low,25000,Yes,30,3,No,No
EMPID70193,Analytics,region_6,Bachelor's,m,sourcing,1,33,4,8,10,No,High,45000,No,23,2,No,No
EMPID27188,Analytics,region_13,Master's & above,m,other,1,30,3,4,8,No,Low,45000,Yes,30,4,No,Yes
EMPID24291,Analytics,region_26,Bachelor's,m,other,2,27,5,3,9,No,Low,53000,Yes,25,2,No,Yes
EMPID43676,Procurement,region_2,Bachelor's,m,other,4,29,,1,7,No,Low,45000,Yes,30,4,No,Yes
EMPID52231,Operations,region_2,Bachelor's,m,sourcing,1,43,3,3,8,No,Low,60000,Yes,25,4,No,No
EMPID34241,Analytics,region_22,Bachelor's,m,other,2,28,3,5,9,No,Low,45000,Yes,30,3,No,No
EMPID76661,Procurement,region_17,Bachelor's,m,other,1,31,5,3,7,No,Low,43000,Yes,15,2,No,No
EMPID50595,Operations,region_2,Bachelor's,f,other,1,43,4,12,8,Yes,Low,56000,Yes,20,3,Yes,Yes
EMPID67673,Operations,region_4,Bachelor's,f,other,1,35,5,9,9,No,Low,43000,No,25,4,No,Yes
EMPID10547,Sales & Marketing,region_5,Bachelor's,m,other,2,35,3,9,7,No,Low,45000,Yes,30,4,No,Yes
EMPID73405,Operations,region_2,Master's & above,m,other,1,50,3,8,8,No,High,34000,Yes,35,3,No,Yes
EMPID73114,HR,region_17,Bachelor's,f,other,1,26,4,3,9,No,Low,25000,Yes,23,4,No,No
EMPID22572,Sales & Marketing,region_27,Bachelor's,m,sourcing,1,32,3,5,7,Yes,High,45000,No,35,3,Yes,Yes
EMPID62923,Operations,region_13,Master's & above,f,other,1,38,5,2,9,No,Low,18000,No,30,4,No,No
